filename,pt_nose_dx,pt_nose_dy,pt_nose_dz,sym_f1_dx,sym_f1_dy,sym_f1_dz,sym_f2_dx,sym_f2_dy,sym_f2_dz,sym_f3_dx,sym_f3_dy,sym_f3_dz,sym_l1_dx,sym_l1_dy,sym_l1_dz,sym_s1_dx,sym_s1_dy,sym_s1_dz,sym_m1_dx,sym_m1_dy,sym_m1_dz,sym_h1_dx,sym_h1_dy,sym_h1_dz,Cd,Cl,CmPitch,L_D_Ratio
tablon_018,-0.019188,0.028741,0.036738,0.00872,-0.011262,0.039359,-0.000852,-0.011531,0.022359,-0.004997,0.036663,-0.006357,-0.004816,0.015213,0.026972,-0.031376,-0.012229,0.008494,-0.007441,-0.035105,-0.004123,0.017124,0.029802,-0.002206,0.1782502,-0.1361106,-0.02023327,-0.7635929721256974
tablon_019,0.009483,0.01414,0.029117,-0.038809,-0.02072,-0.007965,-0.010368,0.032277,-0.010809,-0.039648,-0.031302,0.030318,-0.023177,-0.015479,0.030424,-0.036768,-0.010254,-0.009713,0.015476,0.004354,0.004385,0.019516,-0.033937,0.02255,0.2433599,-0.4233033,-0.09640247,-1.7394126969973278
tablon_020,-0.01369,0.036396,0.025343,-0.025534,0.008219,-0.026556,0.026483,-0.030199,0.014914,0.000502,0.036884,0.036541,0.037412,0.001002,0.010873,-0.024346,0.020169,-0.036347,-0.015981,0.013885,0.024173,0.031529,-0.020125,0.009621,0.2772591,-0.1312389,0.06608642,-0.4733438866388876
tablon_021,-0.005855,0.01048,-0.023306,0.004575,0.007928,0.039863,-0.029865,0.006209,-0.014709,-0.025628,-0.022994,0.036956,-0.008633,0.015083,0.022036,0.008749,0.010826,-0.011061,0.019199,0.019034,0.014413,0.008086,0.020659,0.005438,0.2039123,-0.2961042,-0.04625316,-1.4521154437471404
tablon_022,0.027407,-0.020741,-0.018379,0.012075,-0.014956,-0.038544,0.030232,0.02853,-0.035321,0.032005,0.00757,0.017242,0.036956,0.017163,-0.031824,0.011276,0.010119,-0.002897,-0.003793,0.039844,0.036296,-0.003801,-0.034378,-0.03422,0.3392636,1.44606,0.7673075,4.262349394394211
tablon_023,-0.0394,-0.013136,0.009862,0.020759,-0.023272,0.004521,-0.025668,0.005485,0.023821,-0.011611,-0.006482,0.020229,-0.021529,-0.009396,-0.018688,0.032428,0.001405,-0.030664,-0.035613,0.002455,-0.034008,0.025007,0.038438,-0.029292,0.1614112,-0.1427736,-0.1405695,-0.8845334152772546
tablon_024,-0.03289,0.032183,-0.039562,-0.020128,-0.005833,-0.00569,0.038113,0.015596,-0.018408,0.012699,0.020048,0.03264,-0.001481,-0.001905,-0.033875,0.023551,0.019726,0.032251,0.0339,0.001674,-0.022367,0.014631,0.002204,-0.037983,0.2081209,0.858106,0.3658746,4.123113055920862
tablon_025,-0.027469,-0.030931,0.020573,0.018497,-0.000713,0.01274,-0.005936,-0.028754,0.036107,-0.024362,-0.03225,6.4e-05,0.029415,0.001428,0.010288,0.018901,-0.03005,-0.021013,-0.029014,0.000177,-0.014684,-0.036007,0.001702,-0.006842,0.1543884,-0.1606263,-0.024353,-1.0404039422650924
tablon_026,0.023903,-0.001846,-0.029895,-0.03013,0.016015,-0.020114,-0.03965,0.013165,0.015383,0.017011,-0.029577,-0.016109,0.011984,0.002135,0.019616,0.00702,0.002739,0.005898,0.01255,0.033252,-0.036653,-0.03157,0.007249,-0.020391,0.1844103,-0.3778218,-0.1114822,-2.048810722611481
tablon_027,-0.020909,-0.023766,0.018613,0.029722,0.023837,0.018446,-0.027,0.028369,-0.020654,0.007061,0.003908,-0.01288,-0.025016,0.031213,0.021179,-0.037583,0.019218,0.00531,0.02762,0.009098,-0.017806,0.012694,0.026447,-0.038697,0.1972415,-0.3535216,-0.1076246,-1.79232869350517
tablon_028,-0.001707,0.013325,-0.003456,-0.019316,-0.000836,0.013007,-0.015831,-0.02961,0.03859,-0.028663,-0.021682,0.023654,-0.005454,0.009809,-0.017328,0.024308,-0.01776,0.034728,-0.021433,-0.033865,0.03026,-0.023588,-0.028358,-0.024316,0.2183259,-0.2278015,-0.1911316,-1.0434011722841863
tablon_029,-0.037963,-0.02325,0.032423,-0.03358,-0.015954,-0.011035,-0.01462,0.038334,0.020635,-0.013702,0.009781,0.019747,-0.015023,0.025809,0.011301,0.029406,0.020773,0.02915,-0.029319,0.029432,-0.011627,0.004739,-0.024459,0.004929,0.1831067,-0.1235551,-0.1126956,-0.6747710487928623
tablon_030,-0.023763,0.007022,0.022395,-0.028688,-0.031372,-0.003026,-0.032102,-0.005535,-0.021964,0.035625,0.024031,-0.028136,0.006326,0.036368,0.021418,0.005621,0.037778,-0.016579,0.037735,0.018167,0.021057,-0.037498,-0.010648,0.010973,0.3387186,-0.3727239,-0.01643102,-1.1003939553363766
tablon_031,-0.032248,-0.031303,0.033224,-0.00977,0.011141,0.010628,0.03937,0.023985,-0.026646,-0.014851,0.029119,-0.031604,0.032171,0.023665,0.023462,-0.010027,0.008264,0.022233,0.016509,0.00775,-0.0358,-0.014987,0.018123,0.028108,0.2498496,-0.4490626,-0.1648178,-1.7973316747355208
tablon_032,0.006872,-0.032541,-0.013583,-0.03695,0.033562,-0.032555,-0.009002,0.002105,-0.033499,0.004298,-0.023736,-0.036114,-0.025589,-0.02337,-0.025298,0.034791,-0.032233,-0.028643,0.021523,0.008284,-0.010518,0.000761,-0.018245,-0.017697,0.2037027,0.1792574,0.1923952,0.8799952087036648
tablon_033,-0.037065,0.024621,-0.024733,-0.014307,-0.003888,-0.00858,-0.019528,-0.010487,0.004019,0.006759,-0.012262,-0.025325,0.001953,0.033186,0.036037,-0.014248,0.001177,-0.032465,0.011831,0.022656,-0.000219,-0.029656,-0.020822,-0.036805,0.3739561,0.023338,0.1781383,0.062408394996097134
tablon_034,-0.02424,0.023378,0.021242,-0.034803,0.024506,-0.031439,-0.005216,0.013995,-0.02402,-0.037693,-0.034149,0.013724,0.027966,0.035976,-0.001021,-0.03023,-0.000189,0.028341,0.016151,-0.035602,0.032925,-0.005439,-0.013654,-0.01802,0.2903345,-0.2760832,-0.06787955,-0.950914204133508
tablon_035,0.022036,0.022725,-0.02492,0.000471,-0.012148,-0.037819,-0.014033,-0.007319,-0.024535,-0.03347,-0.025398,0.011695,-0.023462,0.005996,-0.002302,-0.034519,-0.024226,0.017269,0.022103,-0.005057,-0.027796,-0.014576,0.036737,0.019154,0.2838982,1.265416,0.6233894,4.457287858816999
tablon_036,0.026935,-0.030397,0.015408,-0.020883,0.03097,-0.009782,-0.031207,-0.031078,-0.001196,0.007811,-0.001205,-0.03257,0.002541,-0.014241,0.006852,-0.026881,-0.020614,0.006559,-0.02835,-0.001634,-0.039978,0.034163,0.015248,-0.032086,0.1717632,-0.1465696,-0.06633684,-0.8533236455771667
tablon_037,-0.025117,0.0087,0.035061,-0.000152,0.039716,-0.018288,0.018133,-0.033936,-0.039382,-0.000967,0.003514,-0.02257,-0.025629,-0.027014,-0.019531,-0.033025,0.028593,-0.038884,-0.0077,0.010664,-0.033661,-0.009036,0.035004,-0.020727,0.2052467,-0.5450987,-0.1947311,-2.6558219937275487
tablon_038,0.019241,-0.010218,-0.031471,0.029546,-0.002305,-0.022831,0.033286,-0.039105,-0.019014,-0.018139,-0.003479,0.035855,0.038406,-0.020601,-0.023144,-0.017152,-0.033784,-0.016845,0.005037,-0.015597,0.001484,-0.03824,0.008923,-0.032439,0.2325405,0.4236466,0.2407397,1.8218185649381504
tablon_039,-0.029864,-0.020163,0.006308,0.036852,-0.038698,-0.004049,0.015244,-0.001387,0.037173,0.017381,0.004266,0.036218,0.023698,0.026785,-0.017954,0.024778,0.017285,0.015155,0.025246,0.003386,-0.007713,0.001118,-0.005016,-0.024467,0.2414923,0.9427154,0.4418454,3.90370790290208
tablon_040,-0.026503,0.002104,-0.022661,-0.023404,-0.009673,0.000137,-0.036942,-0.021354,-0.02551,0.026211,-0.006399,0.022862,-0.029531,0.004496,-0.035154,-0.006736,0.02292,-0.03195,0.034944,-0.014278,-0.021272,-0.031127,-0.007346,0.026105,0.2917107,1.320941,0.6995788,4.528256934010305
tablon_041,-0.014347,-0.004163,0.039901,-0.023763,-0.008586,-0.00097,-0.0126,0.009018,0.030208,0.001992,0.026255,0.005476,0.013125,-0.024319,-0.014607,0.003238,0.003107,0.015805,0.01761,-0.029324,-0.032957,0.011609,-0.007193,-0.026581,0.2453656,0.9842046,0.4652579,4.0111759757684045
tablon_042,-0.019327,0.037235,0.01615,0.021857,0.025964,-0.016996,-0.014911,0.007769,-0.030418,-0.014581,0.037526,-0.017284,-0.024714,-0.016455,-0.027218,0.011617,0.028143,0.00978,-0.020875,-0.031431,-0.012959,0.028225,-0.013427,-0.020894,0.2501273,1.350176,0.7010611,5.397955361130113
tablon_043,0.032699,0.034415,-0.007287,-0.003625,0.021941,-0.011469,0.017222,-0.034114,-0.026176,-0.010938,0.028682,-0.039346,-0.014173,-0.026452,-0.012983,0.018155,0.023643,-0.034997,-0.018641,-0.007085,0.026328,0.027556,0.01519,-0.011142,0.2569644,-0.6322425,-0.1064073,-2.460428370622546
tablon_044,0.039367,-0.018679,0.037894,-0.004366,0.005164,0.032301,0.020943,-0.015115,-0.027884,0.014926,0.027946,-0.026429,-0.03761,-0.027819,-0.00748,0.025969,0.013732,-0.035674,-0.022934,-0.01656,0.010126,0.032496,0.026057,-0.033632,0.1478616,-0.06875948,0.0887773,-0.46502594317929735
tablon_045,0.038193,0.004935,-1e-05,0.033799,0.01964,-0.023857,0.015124,0.039441,0.026315,-0.031265,0.02494,0.013153,-0.0147,0.030504,0.036903,-0.035953,0.032571,-0.019421,0.037387,-0.005979,-0.005292,0.013304,0.029112,0.025109,0.3009209,-0.3508392,-0.00708868,-1.1658851213059644
tablon_046,0.038602,0.006174,0.038215,0.028448,0.017418,0.006391,0.025509,-0.027078,-0.002219,-0.036383,0.013668,-0.010935,-0.038447,-0.025989,0.012332,0.022376,-0.014822,-0.006271,0.036572,0.005529,0.015355,-0.028899,-0.019903,-0.03588,0.1628943,-0.1740713,0.02336602,-1.0686150466897861
tablon_047,0.038823,-0.033023,-0.008605,0.027824,0.02297,-0.0047,0.011513,0.018989,0.011365,0.028614,0.038676,0.018973,0.003926,0.010125,-0.007117,0.032093,0.025559,0.002251,-0.018953,-0.013459,-0.028918,0.039478,-0.006746,0.029969,0.249392,1.446752,0.7336914,5.801116314877783
tablon_048,-0.006952,-0.038796,0.03396,0.032203,0.000207,0.028059,0.008272,0.026861,-0.000563,-0.017733,-0.032852,-0.020486,0.026576,-0.011833,-0.016177,0.026661,-0.031876,-0.019042,-0.03281,-0.02753,0.000277,-0.002854,-0.027049,-0.032969,0.1527705,-0.3825444,-0.166374,-2.504046265476646
tablon_049,-0.009641,0.002728,-0.006359,0.025922,0.031656,-0.033522,0.005089,-0.03703,0.011839,-0.023119,0.007144,-0.00985,0.007843,-0.021105,-0.014236,-0.016779,0.022586,-0.008482,-0.007016,-0.033263,-0.016803,0.026027,-0.02132,0.012261,0.2579577,0.9895365,0.5280213,3.836041723119721
tablon_050,0.032164,-0.022154,0.038532,0.003795,-0.001465,0.033558,0.039601,0.00184,-0.004986,0.034328,-0.01391,-0.004537,-0.020112,0.013766,-0.023994,0.000194,0.029253,-0.022178,0.025898,0.01734,0.038303,-0.001457,0.002573,-0.003207,0.1706466,-0.1875532,-0.04127995,-1.0990737582817354
tablon_051,-0.035666,-0.039435,0.034194,-0.021288,-0.024557,-0.034727,0.001961,0.010055,-0.029078,-0.009845,0.012932,-0.029327,-0.011606,-0.035133,0.006193,-0.00688,0.000236,-0.023104,0.005379,0.026944,-0.022454,-0.024315,0.000635,-0.018584,0.2290627,-0.7531764,-0.2197333,-3.288079639330192
tablon_052,0.037508,-0.00286,0.003575,-0.038439,0.004752,0.003857,-0.003299,0.01439,-0.025681,-0.017125,-0.034604,-0.023534,-0.021675,0.012743,-0.014855,0.001668,-0.008389,-0.013738,-0.012187,-0.002894,-0.001766,0.004014,-0.014018,-0.007907,0.187814,-0.5163209,-0.2079545,-2.7491076277593787
tablon_053,0.034835,-0.006845,-0.013984,0.013389,0.009546,-0.006818,0.038819,0.030047,0.001852,-0.002112,0.03943,0.038399,0.022141,0.003183,-0.006274,0.01222,-0.007076,-0.003398,-0.038916,0.004812,-0.016022,-0.00069,0.008679,0.038659,0.2439753,1.332958,0.6855133,5.463495689932547
tablon_054,0.015363,-0.016358,0.022831,0.020985,-0.036457,0.001805,0.034934,-0.015823,0.029851,-0.008906,-0.03279,0.015451,0.000308,-0.031986,-0.029502,0.022598,-0.038617,-0.030239,0.026151,0.02311,-0.038685,0.010622,-0.014544,0.035065,0.2709674,1.1486,0.5549922,4.238886301451761
tablon_055,0.008582,-0.000415,-0.036785,0.030656,-0.008243,-0.021306,0.033865,0.003318,-0.034716,0.016299,-0.028169,0.027426,-0.006472,-0.022279,-0.030797,0.00487,-0.00524,-0.028376,0.030468,-0.024725,0.02347,-0.031696,0.014647,0.006489,0.3369373,1.363362,0.7592015,4.046337404615042
tablon_056,0.01122,-0.0077,-0.028584,-0.022513,-0.011939,-0.000752,0.009647,-0.016653,-0.018091,0.038525,0.036108,0.037595,-0.030324,0.033609,-0.025955,0.03366,-0.035291,0.004011,-0.016535,0.014365,-0.023514,-0.00419,0.028212,-0.001466,0.243203,1.176151,0.5766263,4.836087548262151
tablon_057,-0.003808,0.021821,-0.016975,0.036017,0.003928,-0.014586,0.035651,0.039057,-0.017636,-0.037261,-0.008366,0.021949,0.018338,0.031139,0.030869,-0.013423,0.002074,0.022772,-0.000269,0.025916,0.020444,-0.016077,-0.022312,-0.014777,0.2474601,-0.6817652,-0.1728809,-2.755051016305255
tablon_058,0.028607,0.029176,0.008856,0.005808,-0.007668,-0.030181,0.038725,0.006909,0.036603,-0.025597,0.027049,-0.027286,-0.031035,-0.037868,0.008852,-0.010646,-0.031344,0.019564,-0.010764,-0.003702,0.033494,0.017288,-0.032783,-0.023385,0.1815934,-0.3493365,-0.05759872,-1.92372905623222
tablon_059,0.02446,-0.029854,0.006868,-0.006356,-0.030228,-0.007252,-0.035531,0.02978,0.008302,0.015583,-0.016864,-0.016403,-0.012806,-0.028265,-0.009451,-0.039776,-0.029527,0.03692,-0.024666,0.005993,0.005647,0.035505,0.013187,0.012489,0.288318,1.228365,0.6281405,4.260452000915655
tablon_060,0.002984,-0.026102,0.003671,0.02379,-0.023092,0.028996,0.019618,-0.037281,-0.021217,0.022101,0.016795,0.004596,-0.009424,-0.034771,0.027702,0.030809,-0.032441,-0.036525,-0.006059,0.027887,0.025851,-0.012926,0.008135,-0.005389,0.2649752,-0.1657724,0.1214775,-0.6256147745147469
tablon_061,-0.000515,0.012136,-0.032101,0.000349,-0.018331,0.007593,0.029195,-0.016237,-0.039743,0.034829,-0.038715,-0.035004,0.009394,-0.033958,-0.030837,-0.025016,-0.036665,-0.036807,-0.032475,0.00126,-0.003083,0.038386,-0.028731,0.00802,0.2235448,-0.2210312,-0.02004294,-0.9887557214482289
tablon_062,0.034669,0.027291,0.030974,0.035032,0.029725,-0.021786,0.002196,-0.022448,0.004411,-0.034715,0.032227,0.007085,-0.03811,0.010719,0.033234,0.009299,-0.037794,-0.009484,-0.001061,-0.037476,-0.005198,0.015157,0.009419,0.03032,0.2175092,-0.6385259,-0.151106,-2.9356270907161623
tablon_063,0.030153,-0.021991,0.032138,0.006261,0.028407,-0.029921,0.022153,-0.012334,0.01832,-0.005387,0.016051,0.021091,-0.026974,0.016531,0.018748,-0.033355,0.014036,-0.014292,-0.033764,-0.0397,-0.000775,-0.028489,0.03527,0.013648,0.2084532,-0.4690944,-0.09542894,-2.2503583538175476
tablon_064,-0.005097,0.019146,-0.001367,0.039957,0.032005,0.030577,-0.003624,0.038669,-0.013424,-0.035945,-0.016724,0.001152,-0.002629,-0.011515,0.032864,-0.0275,-0.027053,0.018069,0.009081,0.017102,0.009723,0.025894,-0.012615,-0.000283,0.2103424,-0.416822,-0.1067214,-1.9816356569098765
tablon_065,0.036137,-0.031895,-0.002052,0.027133,-0.037699,-0.021003,0.006754,0.033925,-0.025008,0.038013,-0.011761,-0.031121,-0.021032,0.032443,0.019047,0.023968,-0.026049,0.007855,0.003442,0.034629,0.024591,-0.014308,0.030351,0.03665,0.2677307,-0.6820782,-0.1151209,-2.5476278962405132
tablon_066,-0.018763,0.007278,0.018341,0.011188,-0.009181,0.019555,-0.002831,0.020919,0.008544,-0.038437,-0.033851,0.034344,-0.010433,0.001852,-0.010849,-0.00618,-0.038148,0.001593,0.032714,0.024523,-0.026832,0.012264,-0.031888,-0.014377,0.2437917,0.1768273,0.03093978,0.7253212476060505
tablon_067,-0.028739,-0.009211,-0.01504,0.001348,-0.01708,-0.025843,0.017014,0.034011,-0.004132,-0.039594,-0.007657,-0.033228,-0.019251,-0.010188,-0.028852,0.01617,-0.004382,-0.019833,-0.014189,0.029668,-0.015515,-0.027189,-0.014871,0.004246,0.2444608,1.208548,0.6885781,4.943729219572218
tablon_068,0.019742,-0.00525,-0.037095,-0.01254,-0.020239,0.029951,0.007014,-0.01285,0.013098,-0.009492,0.03084,0.037815,0.030862,0.00609,0.021986,0.022839,-0.023428,0.03645,-0.005421,0.014763,-0.026568,-0.017832,0.036919,-0.008815,0.2213394,0.04851556,-0.01028711,0.21919079928833277
tablon_069,0.026207,-0.001168,0.010602,-0.033042,0.015253,-0.027621,-0.02315,-0.015579,-0.005872,-0.00678,-0.017357,0.026161,-0.037511,0.021743,0.020298,-0.034188,0.035471,0.020328,0.038404,0.007032,-0.01091,0.03694,-0.017631,0.022321,0.2049816,-0.07414755,-0.002126794,-0.3617278331323397
tablon_070,0.000672,0.03024,0.022445,0.015074,-0.016565,-0.039303,0.03694,-0.020984,0.010255,0.014415,0.019322,0.00162,-0.027442,0.039943,-0.037109,-0.028635,0.033444,0.035103,0.004735,0.020647,-0.006571,-0.022042,0.004721,-0.030654,0.244335,1.058769,0.4697924,4.333267849468967
tablon_071,0.029499,-0.033768,0.010172,0.035812,-0.034022,-0.01354,-0.023685,-0.018168,0.019402,0.023331,0.006759,0.038742,0.019982,0.03778,0.02431,0.013163,0.03213,-0.020737,-0.031297,-0.032257,-0.001427,-0.021362,0.003552,0.023232,0.2059316,-0.4164349,-0.06302155,-2.0222000897385346
tablon_072,0.018345,0.004294,-0.031605,-0.029451,-0.018575,0.03151,-0.034396,-0.01347,-0.035619,-0.006961,-0.010151,-0.012221,0.030708,-0.013937,-0.004522,-0.025262,-0.013919,0.031534,0.026566,0.012649,-0.028606,-0.009948,0.011092,-0.039775,0.2867551,0.8476176,0.4106807,2.9558937225527986
tablon_073,-0.030078,0.029595,-0.0031,0.007426,0.035906,0.002462,-0.012099,0.019933,0.024869,0.008511,-0.000341,-0.007145,0.004261,-0.030333,0.025373,-0.020565,0.03306,0.002925,-0.032346,0.00721,0.037792,0.028801,-0.00573,-0.013754,0.2319427,-0.412203,-0.05282713,-1.7771760007967485
tablon_074,-0.036159,0.039844,0.029392,0.008979,0.006657,0.03296,-0.015264,-0.034589,0.012353,-0.02499,0.033791,0.006313,-0.00881,0.036893,0.031276,-0.002725,0.018921,-0.026266,0.03575,0.02154,0.027743,0.018603,0.000985,-0.019053,0.25246,-0.07341038,0.09921612,-0.2907802424146399
tablon_075,0.033226,0.026021,-0.028253,0.038069,0.005229,-0.028919,-0.011097,0.001482,-0.03165,0.030747,0.000176,0.038903,0.037772,-0.018763,-0.02081,0.002312,-0.03084,-0.033453,0.012081,0.038967,-0.011306,0.016778,-0.034672,0.019588,0.3589628,1.081112,0.5803334,3.0117661217262626
tablon_076,-0.025661,0.031641,0.030278,0.015748,-0.006636,-0.025343,-0.009249,0.00046,-0.012497,-0.032581,0.002432,-0.015696,-0.029802,0.023406,0.009719,-0.013984,-0.002086,0.035652,0.009936,0.027516,-0.009682,0.005268,-0.002586,-0.008775,0.2062192,0.06806285,0.03999286,0.33005098458339477
tablon_077,-0.016348,0.034204,0.027163,0.011789,0.020801,0.019799,0.01781,-0.03972,-0.02369,-0.036831,-0.015917,-0.028668,0.004701,0.010961,-0.036594,0.019406,-0.017308,-0.002572,0.031513,0.026533,0.032029,0.036466,0.025654,0.020926,0.3006284,0.1633903,0.09607125,0.5434958906078068
tablon_078,0.028822,-0.00396,-0.030845,-0.008856,-0.004739,0.0123,-0.017477,-0.010995,-0.019262,0.024779,-0.024291,-0.021421,-0.003305,-0.026144,-0.035342,0.028237,-0.005615,-0.013511,0.037185,-0.02146,-0.024321,0.037737,0.013935,-0.035483,0.2970109,1.457331,0.7396753,4.9066583078264125
