pt_body_nose_front_dx,pt_body_nose_front_dz,sym_body_front_wing_dx,sym_body_front_wing_dy,sym_body_front_wing_dz,sym_body_mid_wing_dx,sym_body_mid_wing_dy,sym_body_mid_wing_dz,sym_body_back_wing_dx,sym_body_back_wing_dy,sym_body_back_wing_dz,sym_body_mid_dx,sym_body_mid_dy,sym_body_mid_dz,sym_body_back_dx,sym_body_back_dy,sym_body_back_dz,pt_body_top_wing_dx,pt_body_top_wing_dz,pt_body_top_mid_dx,pt_body_top_mid_dz,pt_body_top_back_dx,pt_body_top_back_dz,pt_wing_point_dx,pt_wing_point_dz,sym_wing_l1_r1_dx,sym_wing_l1_r1_dy,sym_wing_l1_r1_dz,sym_wing_l1_r2_dx,sym_wing_l1_r2_dy,sym_wing_l1_r2_dz,sym_wing_l1_r3_dx,sym_wing_l1_r3_dy,sym_wing_l1_r3_dz,sym_wing_l2_r1_dx,sym_wing_l2_r1_dy,sym_wing_l2_r1_dz,sym_wing_l2_r2_dx,sym_wing_l2_r2_dy,sym_wing_l2_r2_dz,sym_wing_l2_r3_dx,sym_wing_l2_r3_dy,sym_wing_l2_r3_dz,sym_wing_l3_r1_dx,sym_wing_l3_r1_dy,sym_wing_l3_r1_dz,sym_wing_l3_r2_dx,sym_wing_l3_r2_dy,sym_wing_l3_r2_dz,sym_wing_l3_r3_dx,sym_wing_l3_r3_dy,sym_wing_l3_r3_dz,sym_wing_l4_r1_dx,sym_wing_l4_r1_dy,sym_wing_l4_r1_dz,sym_wing_l4_r2_dx,sym_wing_l4_r2_dy,sym_wing_l4_r2_dz,sym_wing_l4_r3_dx,sym_wing_l4_r3_dy,sym_wing_l4_r3_dz,sym_wing_l5_r1_dx,sym_wing_l5_r1_dy,sym_wing_l5_r1_dz,sym_wing_l5_r2_dx,sym_wing_l5_r2_dy,sym_wing_l5_r2_dz,sym_wing_l5_r3_dx,sym_wing_l5_r3_dy,sym_wing_l5_r3_dz,sym_end_down_front_dx,sym_end_down_front_dy,sym_end_down_front_dz,sym_end_down_back_dx,sym_end_down_back_dy,sym_end_down_back_dz,sym_end_up_front_dx,sym_end_up_front_dy,sym_end_up_front_dz,sym_end_up_back_dx,sym_end_up_back_dy,sym_end_up_back_dz
0.006826,0.009987,0.02316,-0.014753,0.014027,-0.000204,0.009996,0.029619,-0.022758,0.021341,-0.018075,0.020914,-0.008375,0.007172,-0.027093,0.016133,0.025177,0.02997,-0.003531,0.017601,0.013263,-0.028915,-0.001595,-0.015609,0.020159,-0.011899,-0.000662,0.014354,-0.011596,0.003322,0.017404,-0.001614,-0.01507,0.014571,0.013586,-0.008603,0.015206,0.006004,-0.018977,0.012092,0.019093,0.008336,0.017421,0.007794,-0.019828,0.001832,0.014745,-0.01901,0.01515,-0.007619,-0.001261,0.018218,-0.001155,-0.001599,-0.01113,-0.010133,-0.00065,-0.017045,-0.009833,-0.018437,0.005521,-0.00138,-0.00845,-0.019456,0.010623,-0.000798,-0.01163,-0.016365,-0.002526,0.011787,-0.022112,-0.020065,-0.01605,0.010751,0.006297,-0.007854,-0.008563,0.023627,-0.013552,0.014621,0.016516,0.007959
0.007911437123744028,0.009166465052335248,0.02174661494840002,-0.017987974384601663,0.013324059367041572,0.0005447700124106634,0.01070988594036969,0.02961337040969632,-0.021713931430161985,0.02145707557193889,-0.020106602393018473,0.021686937266982387,-0.009864445703083731,0.005659575398535387,-0.028115083091079424,0.016120088189163693,0.025951554964792192,0.03067646647092194,-0.00393935660624096,0.01654719222683878,0.013881735207939986,-0.02991458139553935,-0.001110158139500615,-0.015456880478477493,0.020492760810852925,-0.01487962816026996,-0.0016968330693754902,0.014588887838142337,-0.01244670990220906,0.003171980742711828,0.016145096525034857,-0.0018493923734324417,-0.01572747289181939,0.013328314559028718,0.012651404439787137,-0.009643325456982137,0.015084966022316022,0.006079661606978549,-0.019546176690427245,0.013080555050199536,0.018444180071457414,0.008062549267034343,0.014424628444155319,0.005086136657758998,-0.020216937431283468,0.0016385049547918374,0.01550517106743226,-0.019741155042913936,0.015652900088893532,-0.006647559171640099,-0.00185622321034936,0.018757883525927162,0.00016525094963460167,-0.001886703567947449,-0.010878586775056823,-0.008319835515621378,-0.0012139358339282392,-0.015626511257359924,-0.009019167506223256,-0.019060388097377666,0.005281938588189884,-0.000544021197785278,-0.008135567814727511,-0.018051169036311945,0.011074953361364565,-0.0017323135730498258,-0.012650327904424375,-0.01638130923596003,-0.0014257814666024504,0.012313900126679617,-0.02124427270161119,-0.02066920137314037,-0.016252010157507078,0.010412382730953889,0.006031698640740855,-0.0073813758458362785,-0.008217587883180385,0.024955244701819035,-0.013975789084728974,0.01658105094713606,0.01705621311692712,0.006541330209376904
0.005441714079993167,0.00923413832353209,0.021836418460231582,-0.01595279071613571,0.013745527875904514,-0.0010917529712399403,0.011646051138874262,0.028317819808042995,-0.022566911914388803,0.02229763506719796,-0.01682072744472207,0.021018001832252307,-0.007834655578922026,0.008021083690267428,-0.026671418859701684,0.015587222848685243,0.02574069448678301,0.028259798697837665,-0.002820833168033684,0.016936182382552612,0.01442552209462162,-0.02911555568918645,-0.00017810160297700856,-0.015180519774480343,0.020057593109557535,-0.012415682630904642,0.00012744330595774404,0.015668528602045772,-0.012698637521704444,0.003995335505177874,0.01851398242991214,-0.0020557473062096147,-0.01534844892232099,0.014863188421032097,0.013263512834238798,-0.0090923201126123,0.015366001830200537,0.006039487099843119,-0.017740987507877573,0.01242322527204613,0.01954295334644611,0.009323169161133975,0.01850374283482525,0.007369165214927987,-0.020129906797044912,0.000180405794585453,0.01577638598115938,-0.018539891108682597,0.01588475900968571,-0.007520413481130819,-0.0016358169604369348,0.01732501311002678,-0.0020259702072478575,-0.0023232075134342026,-0.010770819495535365,-0.011044977904917264,-0.002259201740523446,-0.016736178523624634,-0.011325067512011879,-0.01928547095552534,0.0058557182219887045,-0.002356266028088525,-0.008956306216081142,-0.02044295523530332,0.01028161834288855,-0.0003005517414957958,-0.01120100076963974,-0.014429444659640784,-0.0022338545181803922,0.010536343686770781,-0.02165540922120384,-0.020045261459025316,-0.014195209475063954,0.010724195843389983,0.00771384446022788,-0.007383466250025607,-0.00829977538792433,0.021777143513799453,-0.014482936809488858,0.01516617980536359,0.015974420619011487,0.007771617845323224
0.006505525979065997,0.011369293816141095,0.024906125849156618,-0.015065383514020685,0.014460634250598143,-0.0012338524103196673,0.009321055235169516,0.02899098516916712,-0.022982030123762032,0.01859877611911783,-0.018183179228902106,0.02032195478449451,-0.009288849262537235,0.006430156827574809,-0.026709490385388748,0.016776283647193073,0.024710488314283754,0.029840372822039694,-0.002558650239173065,0.01919020651170137,0.01208953552853114,-0.029768024787924133,-0.0005523402575250767,-0.01647360161006537,0.02219808800520403,-0.010403952989895045,0.00047482570491031014,0.013719059152461272,-0.011625860405784411,0.002535479930521952,0.016284470743889713,-0.002510651694293746,-0.01460757174507303,0.013623057693550968,0.012855643962591838,-0.008369985355912078,0.014355863325283576,0.0070530271312756335,-0.019401301593542333,0.010994635402031449,0.01847949627550366,0.008754484197662133,0.017402168299303022,0.009398545367592666,-0.019708201516982816,0.003021062535294671,0.014070741157572533,-0.01886007546849459,0.01345245694255396,-0.007822994702463613,-0.0019580713485946467,0.01893822110106124,-0.0002957107079385677,0.0012931985508016495,-0.01012720481432023,-0.009250744128340257,-0.0012890935256153631,-0.016644179039463174,-0.009089486873254088,-0.018833037820904983,0.005339553581919725,-0.0010106215859585562,-0.008131883363323517,-0.019046170558068554,0.011292602410921901,-0.0007625925437725092,-0.01226166685446706,-0.017616188186227674,-0.0014623219292882255,0.012616651799853733,-0.021531648443672155,-0.020798456565326064,-0.016867961770627618,0.0125110386403174,0.006562603052650241,-0.007992983091063006,-0.008814957228190555,0.023193339433150734,-0.012139375255969751,0.013760840572771289,0.017475788831735804,0.008423042979753277
0.007204723847140643,0.01102648370043572,0.02292945535608648,-0.013585790585268629,0.014865113842858511,0.00031466856434571853,0.010844476915240108,0.029373320791668853,-0.022453327398756013,0.023411692085071524,-0.018042722275818907,0.020754353259568727,-0.00838915743130081,0.007646348184165043,-0.02723646225909428,0.0157535871921632,0.02489202205971309,0.029887814350679075,-0.0038888619650352878,0.018122971104106836,0.012901380239620012,-0.029519452989371163,-0.0029365183963271377,-0.015767453625736144,0.018704234634414243,-0.0118501629557863,-0.0018059770139255875,0.014429679836116887,-0.011476073402074738,0.0026239593337724796,0.01630160640196394,-0.00136817497461019,-0.015990252163968106,0.016788633106780963,0.011507245107317913,-0.009382742638559422,0.013991972449502739,0.006356277850337976,-0.02067358855293849,0.011389923211681252,0.019444563839580375,0.008221034959390265,0.017068821303963137,0.008443686925708214,-0.02074017942731368,0.0029969677621820706,0.014071489433022109,-0.02070875714920035,0.013960579366273745,-0.0075141167545343035,-0.0001073899514365895,0.01780841284545189,0.00031008497927462815,-3.5644261464443886e-05,-0.011438933637187329,-0.009617827310808883,-0.002252851538822511,-0.016675570425458103,-0.008969176902186245,-0.01712770506995217,0.0041098152579072235,0.0015052553297081786,-0.005938747669838937,-0.020198681356316903,0.010288811863155615,-0.0008085709957005505,-0.011884246116203546,-0.016310850012356538,-0.00223436765657402,0.010373209904770588,-0.021933961215836923,-0.021038845926436824,-0.014845119425072474,0.010454336604355552,0.0060132260871850075,-0.0064917593602731504,-0.00782743287756566,0.02283863330331106,-0.014168234056092575,0.014907392709475026,0.017159048815076156,0.006984394010802263
0.0064547969046241625,0.006902005215169036,0.022244705138335215,-0.016459935257706663,0.012850263842856651,-2.1834836689252205e-05,0.009747584299314485,0.027815285260270987,-0.021412344083777585,0.0216804715203524,-0.017170631427075478,0.019884827008215374,-0.00904816079660087,0.005740705607077514,-0.027663052757929234,0.015421662003709435,0.024563668372640828,0.030528906733922452,-0.0031230166339077845,0.01755934835414736,0.014688421732255413,-0.028273959002544705,-0.002358408353154962,-0.01545684659627891,0.02023475128924062,-0.012628681114366146,-0.0007209184950549717,0.014575939789464651,-0.013140809894016933,0.003815482943014544,0.01736285111296293,-0.0005624092741407273,-0.01520296700275414,0.016677075686066033,0.013543431843138219,-0.007755445734997731,0.014078776081094398,0.006038440311933416,-0.019085480536668382,0.011306381891094962,0.018547422108423115,0.007777947210451663,0.01689862648951003,0.007608639041033934,-0.01943968491355971,0.002727503419395252,0.014815639362422854,-0.01866855002634072,0.015538672772584704,-0.008790180603426163,0.00019424697856014082,0.019246523734210787,0.00027448706620828984,-0.0010560230928209594,-0.010751913918156109,-0.009755292169062806,8.941161260853591e-05,-0.018218594005116454,-0.0076740425720983035,-0.01935921481995154,0.004205576368554809,-0.002397961842602273,-0.010649761907488635,-0.018069605390031943,0.009603815860907541,-2.884034776455633e-05,-0.011489499567124185,-0.016097736333645668,-0.002640417791577964,0.011589011069934655,-0.019715318077374117,-0.02095215157135722,-0.015870444724132973,0.009866156869478051,0.00462516992117217,-0.00911085119698308,-0.007457736112295851,0.023366371420015453,-0.013366481116604084,0.014526382484596248,0.01577869952849288,0.007773158331497085
0.006157703092294201,0.010634636490068076,0.024090816194233027,-0.014428131976315614,0.01618526476608105,-0.0015449739535525586,0.01026197567882127,0.029533343522518813,-0.02318724559398231,0.01993059095420847,-0.01875555664465346,0.020059234992318063,-0.007775004603189292,0.005324416398067904,-0.028302654697610077,0.016293492478561482,0.02698575566147584,0.02984720430207444,-0.004581915916678092,0.01887662736258667,0.012249951647515493,-0.02954256930642529,-0.001558698558915616,-0.014759498779907676,0.01994701759054938,-0.012526117754421064,0.0004560251059174303,0.015119666620332001,-0.012316240657382934,0.004475837771166843,0.017182897865397992,0.0010847681643546088,-0.01548186964183916,0.01576716822751645,0.012825990286116477,-0.00843144190963698,0.015373609043948308,0.004151775563352423,-0.018725725994789548,0.013069824588194518,0.01861580150520651,0.0064478526210952685,0.016021365531075856,0.006945194970237428,-0.01962893599230647,0.00013614700747193462,0.015177376546839629,-0.020011367261680006,0.014659036761274162,-0.007146578602881266,-0.0034839721740346917,0.01768992113764981,-0.0012645985182685377,-0.0016176484170701494,-0.010730671096551016,-0.010791649185434798,-0.0018941407643950285,-0.017508512201953635,-0.009953607293393488,-0.01872221701896215,0.006918293193069575,-0.0027969653679790363,-0.008106848036153707,-0.019677015458793638,0.012664411097618934,-0.0017897881745040619,-0.011852111992412071,-0.01572546546905184,-0.002596574147561575,0.01279014569189007,-0.022876200242170956,-0.019117819233153237,-0.017287182660003148,0.010422382978451324,0.006234128528213916,-0.0071658180529406545,-0.007659620103102321,0.022491200885388488,-0.014693479886787448,0.014847225464367854,0.01820392620558305,0.007543126544497481
0.005552565203084808,0.008967830011027347,0.023720589773197395,-0.013983790150662936,0.014152737958724798,-0.00010898382238643697,0.009661399725166275,0.03028779519642538,-0.025766417405669078,0.021310604946575294,-0.017946462736052788,0.02114219092116103,-0.008527533519938877,0.007273879277471031,-0.026485781643576175,0.013681833414018404,0.023684097999883007,0.029541520014134192,-0.0039836231048139435,0.017618004905097955,0.01411360016176461,-0.027959385440911647,-0.0008050634667375758,-0.014360089044493814,0.021613880941609154,-0.012578976758255679,-0.0003331897451511491,0.013075308111048106,-0.012922136131264455,0.004176812341760109,0.016634570104704243,-0.0029220636371189994,-0.016799770378330567,0.016061975843886845,0.015088246613484246,-0.00974884785177455,0.01471251430547048,0.007395205325371098,-0.018963249849889015,0.011594719652919111,0.01948346461234995,0.009380821326513602,0.01838892464648263,0.007446417913136732,-0.020764265225060648,0.0020096330854085295,0.015922587808525165,-0.017603141044207724,0.01654524234464872,-0.007828724548879784,-0.003000162380703222,0.018017997934935876,-0.0012452103076950182,-0.0017371031453405367,-0.011489130510113452,-0.010402067455229824,-0.00034098774520600786,-0.017491756213521337,-0.01232056519514018,-0.021092594463601184,0.006260150662837801,-0.0010296366248923232,-0.007910379478974494,-0.020498537067888765,0.009814391045117452,-0.00024075966315026474,-0.01028521107972193,-0.01654879341026176,-0.0031123638692862545,0.011130613135171514,-0.022248678150588883,-0.018347941239982287,-0.015544938874020812,0.01020179445769584,0.006241447738904262,-0.006863280834762282,-0.00952211930156487,0.023034169661499772,-0.014698673280175403,0.01513140497669438,0.01722073311813073,0.007790955914315728
0.007173723635230868,0.009688939632808296,0.02415833730675996,-0.013616464765356415,0.013080975198967875,0.00024650853922604835,0.010663228428841572,0.0299171536134846,-0.021071076840352504,0.02247436119116256,-0.01817036439709438,0.020508307870584334,-0.007958363111536908,0.007818231120386644,-0.027069939811469882,0.016063211226881695,0.024307972905166206,0.029672831841835938,-0.0037132407950721293,0.01699692928047374,0.012798689395930787,-0.028852659369122912,-0.0016183164096525678,-0.017397654357735794,0.020581041062737487,-0.012258884183286183,-0.002321629325365021,0.013998432144387554,-0.011697095714364428,0.00330954776765774,0.015084838521692335,-0.0010169373960838748,-0.015562678698822932,0.01458671543572863,0.015241491278808776,-0.00835721286098784,0.015786513716531423,0.006199221239311571,-0.019240961051927654,0.012702753193396763,0.019485270527067975,0.010357692155684713,0.01585377219482269,0.008713859500587524,-0.02053717028949118,0.0018268024824555705,0.017142568088975935,-0.018317253073303907,0.015352076404209438,-0.007951869659582184,-0.0010201249327984035,0.018149914589345346,-0.0014769524786598497,-0.0015830695750152933,-0.012158651859591618,-0.008386763024210559,-0.0006693194790701767,-0.018255965999765027,-0.009770739276552372,-0.017066347085335054,0.007235245566759551,-0.0010412527068630253,-0.009724436530980802,-0.018965833041342386,0.012046180576502509,0.000936575270650032,-0.009651963491673009,-0.015937098109231995,-0.001779967490871683,0.0120511023155776,-0.02368239169969949,-0.018932558106728278,-0.01587165113861341,0.01127121345413282,0.0047928181095297055,-0.007978909285988935,-0.007774187646374298,0.02309450357732808,-0.014740529703007389,0.014230482894514727,0.01618023897140165,0.007502767000874838
0.006246760220183697,0.009385022755077225,0.021823810314839973,-0.015638645609711174,0.01284491056971033,-0.00010619546746833597,0.010543411516139608,0.029365202998146572,-0.023527047850012632,0.02101136995917976,-0.018774432241162417,0.021900691896696287,-0.010183924388856997,0.005831280292580858,-0.027712689797416538,0.01580367870129369,0.025611261148046387,0.02905029625100939,-0.005359817902464039,0.018922593163492235,0.010874724584909588,-0.027720729567125076,-0.0004684864263105708,-0.016733077487851602,0.020540790920927813,-0.011519108878494135,-0.0004507678910849485,0.013580264561877897,-0.011560097215541935,0.002574156761369221,0.017131071606489676,-0.003229643202198648,-0.015045797107563277,0.013563522244658182,0.012366732562413442,-0.009645947033374788,0.015231851436793155,0.006570489319107569,-0.020315186596191193,0.01217102472504321,0.020168036345488104,0.006283123817121067,0.01776067827649464,0.008252742226981167,-0.02137318953868039,0.0028024842694430955,0.014344403067298762,-0.017942261835822617,0.016229695210026474,-0.00790059051362321,-0.000793295774276869,0.016888323389321863,-0.0012712865553013285,-0.001551172366910956,-0.012298046582825359,-0.010516143529291953,-0.000462964641372948,-0.01574443122832677,-0.008445097691387727,-0.016982636436418327,0.00589215148482558,0.0003848579792099147,-0.010315111310920251,-0.01843481804506812,0.010952861110981272,-0.00039608328518123386,-0.009601783847124453,-0.015695472392688745,-0.004629818327675082,0.013123100304412206,-0.021991791632022317,-0.021607194376216596,-0.016085394127701477,0.010665349472254032,0.007057644753368984,-0.008748123946716117,-0.009644376387636103,0.02361465347359538,-0.014349824577780727,0.01641080314327512,0.016972931052345992,0.007551152295299534
