filename,pt_body_nose_front_dx,pt_body_nose_front_dz,sym_body_front_wing_dx,sym_body_front_wing_dy,sym_body_front_wing_dz,sym_body_mid_wing_dx,sym_body_mid_wing_dy,sym_body_mid_wing_dz,sym_body_back_wing_dx,sym_body_back_wing_dy,sym_body_back_wing_dz,sym_body_mid_dx,sym_body_mid_dy,sym_body_mid_dz,sym_body_back_dx,sym_body_back_dy,sym_body_back_dz,pt_body_top_wing_dx,pt_body_top_wing_dz,pt_body_top_mid_dx,pt_body_top_mid_dz,pt_body_top_back_dx,pt_body_top_back_dz,pt_wing_point_dx,pt_wing_point_dz,sym_wing_l1_r1_dx,sym_wing_l1_r1_dy,sym_wing_l1_r1_dz,sym_wing_l1_r2_dx,sym_wing_l1_r2_dy,sym_wing_l1_r2_dz,sym_wing_l1_r3_dx,sym_wing_l1_r3_dy,sym_wing_l1_r3_dz,sym_wing_l2_r1_dx,sym_wing_l2_r1_dy,sym_wing_l2_r1_dz,sym_wing_l2_r2_dx,sym_wing_l2_r2_dy,sym_wing_l2_r2_dz,sym_wing_l2_r3_dx,sym_wing_l2_r3_dy,sym_wing_l2_r3_dz,sym_wing_l3_r1_dx,sym_wing_l3_r1_dy,sym_wing_l3_r1_dz,sym_wing_l3_r2_dx,sym_wing_l3_r2_dy,sym_wing_l3_r2_dz,sym_wing_l3_r3_dx,sym_wing_l3_r3_dy,sym_wing_l3_r3_dz,sym_wing_l4_r1_dx,sym_wing_l4_r1_dy,sym_wing_l4_r1_dz,sym_wing_l4_r2_dx,sym_wing_l4_r2_dy,sym_wing_l4_r2_dz,sym_wing_l4_r3_dx,sym_wing_l4_r3_dy,sym_wing_l4_r3_dz,sym_wing_l5_r1_dx,sym_wing_l5_r1_dy,sym_wing_l5_r1_dz,sym_wing_l5_r2_dx,sym_wing_l5_r2_dy,sym_wing_l5_r2_dz,sym_wing_l5_r3_dx,sym_wing_l5_r3_dy,sym_wing_l5_r3_dz,sym_end_down_front_dx,sym_end_down_front_dy,sym_end_down_front_dz,sym_end_down_back_dx,sym_end_down_back_dy,sym_end_down_back_dz,sym_end_up_front_dx,sym_end_up_front_dy,sym_end_up_front_dz,sym_end_up_back_dx,sym_end_up_back_dy,sym_end_up_back_dz,is_valid,failure_reason,Cd,Cl,CmPitch,L_D_Ratio,Reached_500
pred_wing_001.stl,0.006826,0.009987,0.02316,-0.014753,0.014027,-0.000204,0.009996,0.029619,-0.022758,0.021341,-0.018075,0.020914,-0.008375,0.007172,-0.027093,0.016133,0.025177,0.02997,-0.003531,0.017601,0.013263,-0.028915,-0.001595,-0.015609,0.020159,-0.011899,-0.000662,0.014354,-0.011596,0.003322,0.017404,-0.001614,-0.01507,0.014571,0.013586,-0.008603,0.015206,0.006004,-0.018977,0.012092,0.019093,0.008336,0.017421,0.007794,-0.019828,0.001832,0.014745,-0.01901,0.01515,-0.007619,-0.001261,0.018218,-0.001155,-0.001599,-0.01113,-0.010133,-0.00065,-0.017045,-0.009833,-0.018437,0.005521,-0.00138,-0.00845,-0.019456,0.010623,-0.000798,-0.01163,-0.016365,-0.002526,0.011787,-0.022112,-0.020065,-0.01605,0.010751,0.006297,-0.007854,-0.008563,0.023627,-0.013552,0.014621,0.016516,0.007959,True,None,3.22447,-17.33801,-7.545929,-5.377010795572605,True
pred_wing_002.stl,0.006282443653960034,0.010782849439702001,0.02388604950659702,-0.016240743611093143,0.014709492451732904,-0.0014228314234010842,0.010176050534168061,0.030396872240854602,-0.022001552488159812,0.021485781638531407,-0.017430119319192777,0.021348138493015083,-0.0076770828585734485,0.006694860870682471,-0.027586242339107954,0.015217565768750429,0.024553422228634703,0.03099555876107738,-0.004149440543676643,0.017206101191401438,0.012946352547906338,-0.029105156520422948,-0.0007975193811627096,-0.01548327293020862,0.02230995544412005,-0.01189761811957342,-0.0026244619940726625,0.01441811977616473,-0.011142693500964052,0.0033377827371001622,0.01713697174657697,-0.0007137334360046634,-0.013904434406514817,0.01524565246104042,0.013394532571382938,-0.007033438718543835,0.01641066360932511,0.006175563554462741,-0.018874631189434006,0.011547006242537858,0.01926859942162236,0.006433080746006282,0.01680353026746649,0.00916616053533639,-0.02217379610081755,0.002567644766619387,0.012928850392128013,-0.018701040461214617,0.01494805107798127,-0.007933521153915022,-0.001632055321115199,0.016070690248102603,-0.0022683679565568575,-0.0013914290059449182,-0.011059541039379395,-0.01130245250985813,6.872830619408484e-05,-0.01641386828861037,-0.00862546337331582,-0.018170645306854683,0.006792329720272569,-0.0013643192837914323,-0.00850509677987813,-0.021011455203517125,0.010864273058379779,-0.0009672583347397409,-0.01157503706126413,-0.015120912879344766,-0.0019747577421818114,0.010768491780678659,-0.02366121092174886,-0.021422345988219134,-0.01855070932223721,0.01128587180289387,0.0071237312850262816,-0.006945036320560019,-0.007328498264910024,0.02399812861394121,-0.014233630002103344,0.012549305964471081,0.017400911241599065,0.008654059174061184,True,None,3.274967,-17.62765,-7.548677,-5.382542785927308,True
pred_wing_003.stl,0.007910647536012907,0.008672526936412538,0.02354258125194991,-0.014960540945244093,0.016611113547458773,-0.00041933017554553274,0.01127814916890459,0.028899538341081516,-0.02255178123760242,0.022355025066240326,-0.019442812985705882,0.020374664436488946,-0.007037963805547259,0.007781905782314337,-0.024813558736568365,0.01539363326097516,0.02544093036391876,0.029354570392617314,-0.004688189777582583,0.01744327522836507,0.014156133123074658,-0.02834269099546194,-6.781340744787807e-05,-0.015351079860699198,0.021731038336946652,-0.011443429173274514,0.0005154000199681984,0.014633973294718801,-0.012002637106672119,0.004075216793799603,0.017383111477606992,-0.0024253631160696424,-0.015016156585860006,0.014965103749323208,0.013200499617276077,-0.010631299239937499,0.0162527994379811,0.005631625747885802,-0.019139525916490846,0.013737154602537787,0.02098911938805726,0.008840744292140242,0.019040941672220632,0.00886781200516879,-0.019180812222435784,0.0029687381319345608,0.01321672007086108,-0.016890032357656078,0.014779062010254577,-0.007499484855750091,-0.0015281187767319953,0.01703297719374684,-0.0010818933958378029,-0.0019505434075283389,-0.012026818591388667,-0.008748840382631759,-0.00031088868670137637,-0.01608401483469811,-0.010776480718657744,-0.017289327060597187,0.005021373112805452,-0.0021431209709952786,-0.008426699740893395,-0.017539870103299778,0.011249973411492534,-0.0018712458404071047,-0.012758388064773876,-0.016146543749710106,-0.003266789798375411,0.011530026069452476,-0.020145076904568536,-0.018561698628257066,-0.016468915798279343,0.011612273610020606,0.00687186529033658,-0.007825436826143601,-0.008189909759268378,0.02366323358659453,-0.013465025472978853,0.014479296128301457,0.017168124279901546,0.007908748179295173,True,None,3.26945,-17.52885,-7.41275,-5.361406352750462,True
pred_wing_004.stl,0.007087825804657212,0.010379292490355782,0.021843610874262398,-0.013534365779786239,0.012989922085747476,-0.0006655324119944134,0.007507297740508452,0.029409617100448784,-0.023500318102941373,0.02199282490726288,-0.01836594243079167,0.021852358156115997,-0.00810322183651439,0.007855406706184799,-0.02620608336513079,0.016777255550588312,0.023629083741628552,0.02974422691800688,-0.003874144213708656,0.018774328988009868,0.014475111426176853,-0.029482580012765467,-0.0009973000889489593,-0.016972941597308455,0.022816402698976612,-0.010622635456498625,-0.0023089005377082755,0.014105982097277842,-0.011269991863327613,0.0030327757179125676,0.01790439355477692,-0.0013378962452034568,-0.01447930530221447,0.014739887973146624,0.013238566199847531,-0.009563012350885677,0.014222732277885846,0.0069435329936367385,-0.01881532695554213,0.01268979593731001,0.01969537230109752,0.008583191801643051,0.016921386780691227,0.005515267553989773,-0.020078191342284762,0.0025496095420963235,0.014613688440258486,-0.020010003103406976,0.015339100013933304,-0.007570972217937515,-0.0025015755976674865,0.018471914814271136,-0.0014266288305835506,-0.00010202439939444919,-0.010203591926863702,-0.011206888290548122,-0.001090719841584938,-0.015898000288387976,-0.010629070505506362,-0.01935327067363517,0.005555297429192694,-0.0019347622531954824,-0.00923164591552095,-0.019535323649624414,0.009786221249777344,-0.0012341554408025891,-0.009673107842048638,-0.01693745279458759,-0.0010523717586721816,0.012317807275616611,-0.022372509899302753,-0.020135390966271805,-0.017029009644576803,0.010347957531539283,0.007052394778747386,-0.007773569712837492,-0.009556156307182546,0.02337868407351438,-0.012100558648339518,0.013755980118296884,0.017412960795332097,0.006986934898894232,True,None,3.3204,-15.94733,-6.566231,-4.802833995904108,True
pred_wing_005.stl,0.006196780260627276,0.008887790392540095,0.024482431783930485,-0.014058517604706812,0.0140510887664631,-0.000993081124374555,0.010178389706976617,0.02903951767028612,-0.021644650740949026,0.021966332645814574,-0.016892913126294727,0.021039363513253015,-0.009153534053893833,0.008846092483996261,-0.02432881771882245,0.015516686441275898,0.024298489882594868,0.030001195440979393,-0.00314672575318768,0.018138100251879587,0.013866287064874179,-0.0294617562433317,-0.002196956182163305,-0.01506797744484143,0.02177138073907212,-0.01094859572073309,0.00019384866589642984,0.012272286446261075,-0.011681944804778781,0.004621589937699969,0.017954438974994,-0.002553189025803004,-0.015787494977064085,0.015558657224116791,0.013611420073415814,-0.00730661141938207,0.014687608879175178,0.005864123377156623,-0.01958425491285367,0.011846861764500033,0.019798753565758317,0.007747425798411634,0.016583177932316215,0.00576976160289,-0.019656369449372494,0.0021862846843703357,0.015771450270104494,-0.018371528198990315,0.013660058746070769,-0.008715466999157115,-0.0009781403394414233,0.01833950424648255,-0.0019538916481871937,-0.0022122016284508005,-0.012401475546640173,-0.00962671915787009,-0.0014846380895966007,-0.01662861491513938,-0.010158211466372422,-0.018662842450675433,0.0055481059352372195,-0.0008865816751054756,-0.007688320617841554,-0.018522287789659704,0.010593935051119984,0.00016634472276869615,-0.010227021458133013,-0.0168597684815543,-0.0013739567271662204,0.012642659315918429,-0.0216229003210303,-0.02033119186439355,-0.013993018954829746,0.012281777982231701,0.00778908709179071,-0.008450238587513707,-0.007396630314843487,0.023278291159368483,-0.012713620700301798,0.015659921492728993,0.01623357177542483,0.008562046761588853,True,None,3.274409,-17.59976,-7.517378,-5.374942470534378,True
pred_wing_006.stl,0.005856033719375823,0.0106044868338173,0.023721319030932376,-0.01584280149870848,0.014891478241826727,0.0005460513153515585,0.01061862928853731,0.0288565951238862,-0.023245464041902152,0.02239881083954709,-0.019667921037778806,0.021821833792186572,-0.008868510804692595,0.0057735590746249305,-0.02622609388739671,0.016823285458612475,0.026562997589015536,0.03064929277096645,-0.0030341433073281816,0.019743810840721434,0.013666545141521174,-0.029628128606742365,-0.002103447448700174,-0.014499701748248672,0.021410527009773594,-0.011444765715932668,-5.1213131740941004e-05,0.015377461801893996,-0.010809582380310857,0.0054480371731505444,0.01694760882453525,-0.003273607589039267,-0.014566293658462471,0.014355911097788098,0.01278495364791961,-0.007864508942199184,0.015496473212940332,0.005726286865462846,-0.01766346049412399,0.012564752337526538,0.018965725978494767,0.00813687048204402,0.018278342958312075,0.008181955256910803,-0.01945480639487972,-0.00017205028607280627,0.016249516568939124,-0.019609472424392666,0.014829959404168761,-0.008109729163544068,-0.0035706533801769026,0.018303827115361257,-0.00013462184019568443,-0.0013268630679805808,-0.010186939834609686,-0.01042842536056536,-0.0005243190142562368,-0.017194218464515403,-0.009873387202767807,-0.01745388727911062,0.006550207077207601,-0.001789541099753793,-0.00836410793702128,-0.01936062645873511,0.011147607745941264,-0.0004806569371732034,-0.011516987198601199,-0.016589240084536012,-0.003346902621518242,0.012559863180730126,-0.022784721945409987,-0.018603396533192998,-0.01607864262904125,0.011208394996478686,0.006539480881608269,-0.007080746601204142,-0.00965897873870869,0.02340091234378517,-0.01315769378391294,0.016255661141975065,0.017448344220037194,0.008512510148468658,True,None,3.167799,-16.71245,-7.220667,-5.275729299744081,True
pred_wing_007.stl,0.007300205391458756,0.00905221720654652,0.023112477727139397,-0.01380172407841338,0.013877140121239737,-0.0006005476032815177,0.010777118820246678,0.02759839294165653,-0.022511627795574543,0.023231711962256776,-0.017977066887975002,0.021738489678680105,-0.00839237173693414,0.006544823413305811,-0.025872218421620397,0.016657993514696174,0.02522107112091818,0.030388382160921188,-0.004153420299683773,0.017786209704191314,0.011695509959311075,-0.02801374119802734,-0.001376522668392011,-0.016827805443383977,0.021891991643562172,-0.01081344055239823,-0.00012008334154091111,0.013812554336413187,-0.011667168289535975,0.002856821819223553,0.018609265440953628,-0.0021545142374963452,-0.015470014349233509,0.016519051932103818,0.01423193286286851,-0.00757365625197034,0.01603279142683709,0.006660596086099327,-0.018086524549825865,0.012411218326709089,0.019055939429701303,0.007292209002946988,0.018838770646294117,0.0068522971749747745,-0.021546739453676304,0.002742090077268717,0.013952994108570153,-0.018224225961280576,0.017911324825984155,-0.007816687637159439,-0.001719420191651252,0.017555499993802584,-9.277718500504996e-05,-0.0012537125767534498,-0.01189942083155348,-0.009876582776512419,-0.0018394927906791067,-0.0169182620087179,-0.01123829186215812,-0.018481229687773243,0.006192320011326639,-0.003372901788215057,-0.0082782570865558,-0.01844192698745441,0.010657059527661729,9.778730427734378e-05,-0.014019230273915738,-0.015029563357141498,-0.0038682648513321816,0.010277496223418727,-0.022511153581001482,-0.020153759773315502,-0.01599008023566764,0.011220791718011753,0.007300780284717494,-0.007055251138883559,-0.007936640241845126,0.023547507930400217,-0.013452260097782002,0.015766026935704384,0.017437746800241873,0.00883617375337793,True,None,3.255472,-17.49479,-7.429545,-5.373964205497697,True
pred_wing_008.stl,0.006300642487852382,0.009182555012804686,0.024060146813373172,-0.014283544200568673,0.013304383871366142,0.0009851857427025596,0.01005854947281126,0.028480540990184936,-0.02220553998337352,0.02093116666161523,-0.018352464084756583,0.0204612445973654,-0.006208819825261804,0.006316904753361251,-0.028238606103883197,0.015978643324112897,0.02472150241114297,0.02889211281194667,-0.0018078633433628367,0.0170435095435274,0.012922884109828576,-0.030038172007965488,-0.002446887188914525,-0.016124425030173917,0.022224065312553828,-0.013571626052007972,-0.0006373126770861041,0.012154930323944987,-0.01292274154562785,0.0022701907833959254,0.016591920935185113,-0.0006286289945888891,-0.014965951507878383,0.01255661599742373,0.01319998804326534,-0.00862430003258278,0.015271146806590167,0.005195464915133115,-0.01936738153461311,0.0128939723148985,0.020105842150048705,0.008682243176628286,0.017942864214047595,0.007579314853064459,-0.01922761699659457,0.0009830967351324056,0.016124093024954593,-0.0187616357474575,0.014577354744640688,-0.005911039609239064,-0.002386402796666959,0.018927625995866674,0.00035641705000344793,-0.0024149148860120365,-0.010344136235918367,-0.01011200560901154,2.447042289465903e-05,-0.017498062683142884,-0.011485986427929095,-0.01897031397681741,0.007030417677740476,-0.0005793486035935531,-0.008991559346367785,-0.020023782877334317,0.011016365923641469,0.0002525774873453577,-0.01306566417781855,-0.01638551014645951,-0.002532785736747094,0.011903425825983832,-0.02193684827945817,-0.02099114066523487,-0.017602999503823696,0.010949810787144892,0.006547165875376854,-0.006886569412574594,-0.008700808625337836,0.02326413349612896,-0.013287227081006284,0.015980004686009467,0.017043576884614157,0.006952726668222047,True,None,3.25871,-16.0633,-6.683872,-4.9293432063608,True
pred_wing_009.stl,0.00593211029466146,0.010259324752612537,0.022616488096297665,-0.01365178339436114,0.015129021560767383,-0.004266136472137804,0.009439861599331698,0.029614365081252546,-0.021905687829580873,0.020409813334518235,-0.01961756971819337,0.020369907592598005,-0.008934138672418745,0.007169106213110112,-0.027565224503665945,0.017115251035044826,0.02601735815702726,0.02884212642373212,-0.0030752271694287326,0.01803748331180508,0.013829833617248967,-0.029558183310638798,-0.0005057377262839117,-0.014481232338753487,0.02170591820796675,-0.010833940957769682,-0.0010649319276663503,0.01473090428342551,-0.011018758142943593,0.0028070521784860684,0.016023280034997017,-0.0012620305468549631,-0.015716481548492454,0.014005472837352722,0.012316819199155631,-0.007820025442795184,0.014810585096319166,0.006000938981901391,-0.020478078760275478,0.011392638976489875,0.019676969775476914,0.007277458412009824,0.018721678135546316,0.008253706537916083,-0.021115575161351565,0.0015634002078538996,0.01659925553063917,-0.018320223783580013,0.013663433077214248,-0.008575477717882843,0.0011962155021019026,0.017654815119447453,-0.0018061753692276577,-5.5262751171689236e-05,-0.011314795701613445,-0.011839569288562826,-0.0012549239455706429,-0.01652878106936208,-0.012685588225847224,-0.01868599073123687,0.005327642591190874,-0.0016101103141983437,-0.007423654708454943,-0.018821752364703227,0.010504699910883954,-0.003539082231953343,-0.012302915812818576,-0.01647244945040599,-0.0020341164374686666,0.0123599715949298,-0.022214518430200912,-0.02147480443157564,-0.015268232809584982,0.011784617826533283,0.00611181058175065,-0.006802621833469275,-0.008136119016375476,0.02409685866876735,-0.012525746672818477,0.01286018619700593,0.01726747277467951,0.00815481549439269,True,None,3.224424,-17.58871,-7.591661,-5.4548378252984095,True
pred_wing_010.stl,0.005467246881844328,0.010346579120743446,0.024871427312931578,-0.016827737633357195,0.012831634030581403,0.00019556015618276543,0.009552255026573569,0.03072249078674083,-0.022248088585284216,0.021497850285950724,-0.018326822820051616,0.02259089782422058,-0.008778326657265545,0.005447469961274954,-0.025079986306735063,0.016317764405421733,0.025420720042808806,0.029407961644095648,-0.0015334859450219437,0.018699363056615972,0.013939837966373266,-0.0276391055800043,-0.003039436565868679,-0.017314448691672236,0.02162655720691269,-0.012058010331977514,-0.0002602495934817901,0.012577223779811478,-0.011596617632336386,0.003235098680066567,0.016268861908583798,-0.0007914406228636077,-0.014088031549278294,0.014415036886449746,0.013747151499649772,-0.010171212383514625,0.014497474168114572,0.005777874075930275,-0.019002667534954668,0.011154369565531714,0.019652212839178403,0.008033188413173003,0.01618892277708736,0.0077570523134822544,-0.01989753334747084,0.0021222021882218805,0.012926400395920664,-0.01831459652314533,0.014614515404267569,-0.009301780612032986,-0.002338354783379788,0.017883138883446146,-0.0008976608200671036,-0.001953767520525449,-0.010282656824327841,-0.010000947511101633,-2.5318355757352915e-05,-0.017398116414536036,-0.009776298383573113,-0.018733807142757915,0.006359031814548452,-0.0007793402654597925,-0.008752841143497612,-0.017435589345234148,0.010713098521113438,-0.0001593122967323583,-0.010041771949395635,-0.015603296197048143,-0.002660604831762003,0.012812374394350763,-0.021859167427312157,-0.019883834849297954,-0.016000324047450557,0.010402106149598588,0.005338907228999613,-0.008102720644832405,-0.007222023486491943,0.023877297712605113,-0.013958308085547173,0.014431030415294484,0.01540102767197593,0.007648210889604384,True,None,3.29929,-17.65394,-7.644764,-5.350830027066429,True
